Neuron Name,SKID,SKID in V14?,Annotation Info,Specific Annotation,Annotations
VCN003 DB,23370,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Neck Motor Neuron', 'Ventral Cervical Nerve Neuron', 'Subesophageal Ganglion', 'Gnathal Ganglia']"
SH-SCS_unclassified_15,983104,True,Ascending,Putative_Ascending,"['right DT', 'Putative_Ascending', 'SCS_unclassified', 'HampelSeedsLab', 'upstream of antennal BN2_1', 'SH-SCS-mechanosensory asc_1', 'unclassified', 'SH-mechanosensory asc_1', 'neuron 8760923 SCS']"
SH-JO6,983337,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'HampelSeedsLab', 'JO_miscellaneous']"
SH-JO_asc2,983347,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'HampelSeedsLab', 'JO_miscellaneous']"
SH-JO_asc1,1050646,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'HampelSeedsLab', 'JO_miscellaneous']"
SH-mechanosensory asc_2,1052750,True,Ascending,Putative_Ascending,"['right DT', 'Putative_Ascending']"
Neuron 1060998 Split from LPTC presynaptic input 1027141 SI,1060997,True,Ascending,Ascending Neuron,"['Putative_Ascending', 'corrected false continuation', 'rLPTCIN input neuron', 'LPTCIN input neuron', 'Ascending Neuron', 'FlyWire_ground_truth', 'Chiappe-AN-TypeIII', 'Chiappe-Left', 'Complete Morphology', 'ChiappeLab', 'Chiappe-AN']"
CN presynaptic input neuron 1214058 SI,1214057,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Putative Ascending Neuron']"
CN presynaptic input neuron 1214112 SI,1214111,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Putative Ascending Neuron']"
CN presynaptic input neuron 1217644 SI,1217643,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Putative Ascending Neuron']"
CN presynaptic input neuron 1218325 SI,1218324,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Putative prosternal organ ascending neuron', 'Putative Ascending Neuron']"
CN presynaptic input neuron 1236849 SI,1236848,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Putative Ascending Neuron']"
aSIP Ben Nevis mAL downstream 1255101 KM IT,1255100,True,Descending,Descending Neuron,"['Exists V14', 'Catmaid traced DNs', 'Putative_Ascending', 'Ascending Neuron', 'JefferisLab', 'mAL - pMP8', 'mAL downstream', 'downstream of mAL', 'IT_cVA', 'aSIP L', 'aSIP', 'IT_for_graph', 'Descending Neuron', 'pMN2 Input', 'pMP8 Output', 'mAL upstream 8792485 unique neurons', 'mAL upstream 8792485', 'cVA circuit_IV', 'cVA circuit_L']"
CN presynaptic input neuron 1263757 SI,1263756,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Pre Synaptic to the Cervical Nerve Motor Neuron', 'Putative prosternal organ ascending neuron', 'Putative Ascending Neuron', 'rLPTCIN input neuron', 'LPTCIN input neuron']"
CN presynaptic input neuron 1269736 SI,1269735,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Pre Synaptic to the Cervical Nerve Motor Neuron', 'Putative Ascending Neuron']"
CN presynaptic input neuron 1270688 SI,1270687,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Pre Synaptic to the Cervical Nerve Motor Neuron', 'Putative prosternal organ ascending neuron', 'Putative Ascending Neuron']"
CN presynaptic input neuron 1286799 SI,1286798,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Pre Synaptic to the Cervical Nerve Motor Neuron', 'Putative Ascending Neuron']"
CN presynaptic input neuron 1292600 SI,1292599,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Pre Synaptic to the Cervical Nerve Motor Neuron', 'Putative Ascending Neuron']"
CN presynaptic input neuron 1307991 SI,1307990,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Pre Synaptic to the Cervical Nerve Motor Neuron', 'Putative Ascending Neuron']"
CN presynaptic input neuron 1308039 SI,1308038,True,Ascending,Putative_Ascending,"['Putative_Ascending', 'Pre Synaptic to the Cervical Nerve Motor Neuron', 'Putative Ascending Neuron']"
