Neuron Name,skeletonID,GF1 Synapse Count,annotations
GF input neuron 277740 GMC SM SMA JSP - unclassified type 3,277739,358,"['cellBodyFiber: PVL15', 'cell_type: CL305', 'hemibrain_match: 1072059176', 'Hartenstein_Hemilineage: PVL15', 'Hartenstein_Lineage: primary', 'ItoLee_Hemilineage: PVL15', 'ItoLee_Lineage: embryonic', 'postsynaptic to LC6', 'EPA_R', 'Ipsilateral', 'ICL_R', 'Heterolateral', 'projection neuron', 'IB_R', 'CAN_R', 'ICL_L', 'PVLP_R', 'GOR_L', 'SPS_R', 'SCL_R', 'GF2 input neuron', 'Input to GF1 lateral', 'LHN_JUNE_2017', 'Bilateral', 'Postsynaptic to LPLC2', 'Lineage_annotated', 'in_connective_z_5565', 'PCBR', 'GC', 'CP1v R', 'downstream of LC6', 'input from LC6 lateral', 'input from LC6 medial', 'CardLab', 'neuron 3941333 JSP', 'Input to GF1 soma tract', 'Input to GF1 medial', 'Descending Neuron', 'Input to GF1 anterior', 'LHN_JUNE_2017_NON_PN', 'dark cytosol', 'CAT-Ongoing', 'RIGHT HEMISPHERE', 'GF1 input neuron', 'connectives', 'Visual_Interneuron', 'Input to GF2 medial', 'Unclassified GF input neuron - type 3', 'AMMC_R', 'GNG', 'AVLP_R', 'GOR_R', 'IB_L', 'LAL_R', 'PLP_R', 'SIP_R', 'SAD', 'VES_R', 'WED_R']"
GF input neuron 277809 MAR - unclassified type 1,277808,3,"['DPLam R', 'GF1 input neuron', 'RIGHT HEMISPHERE', 'CardLab', 'Unclassified GF input neuron - type 1', 'Input to GF1 medial', 'LHN_JUNE_2017', 'LHN_JUNE_2017_NON_PN', 'postsynaptic to LC6', 'Lineage_annotated', 'ItoLee_Hemilineage: VLPd1', 'Hartenstein_Hemilineage: DPLam', 'Hartenstein_Lineage: DPLam', 'Putative_Neurotransmitter: NA', 'ItoLee_Lineage: VLPd1', 'ACBR', 'Visual_Interneuron', 'AOTU_R', 'AVLP_R', 'IB_R', 'EPA_R', 'GOR_R', 'ICL_R', 'MB_whole_R', 'MB_PED_R', 'PLP_R', 'PVLP_R', 'SCL_R', 'WED_R', 'SLP_R', 'Input to GF1 lateral', 'Ipsilateral', 'Homolateral', 'projection neuron', 'Unilateral']"
GF input neuron 280738 MAR - unclassified type 57,280737,18,"['DALv1 R', 'Lineage_annotated', 'Hartenstein_Hemilineage: DALv1', 'Hartenstein_Lineage: DALv1', 'ItoLee_Lineage: VLPa2', 'ItoLee_Hemilineage: VLPa2', 'Multi-Modal', 'Mechanosensory Interneuron', 'CardLab', 'GF1 input neuron', 'CAT-Ongoing', 'Bilateral', 'RIGHT HEMISPHERE', 'ACBR', 'Input to GF1 anterior', 'presynaptic to JO', 'GC', 'Unclassified GF input neuron - type 57', 'Postsynaptic to LC4', 'Visual_Interneuron', 'postsynaptic to JONeuron', 'AMMC_R', 'AVLP_L', 'AVLP_R', 'GOR_R', 'ICL_R', 'IB_R', 'LAL_R', 'PVLP_L', 'PLP_L', 'SPS_R', 'PLP_R', 'PVLP_R', 'SAD', 'SPS_L', 'WED_R', 'LO_L', 'Input to GF1 lateral', 'Heterolateral', 'projection neuron', 'Ipsilateral']"
putative LC4 neuron 284704 GMC ET,284703,51,"['RIGHT HEMISPHERE', 'CardLab', 'GF1 input neuron', 'putative LC4 neuron', 'presynaptic to LC4', 'Presynaptic to LPLC2', 'Visual', 'Import', 'projection neuron', 'neuron 14469816', 'neuron 14469827', 'neuron 14469839', 'v14-seg-li-190805.0 upload CATCard', 'LC4_Imported_Review', 'LCBR', 'LO-R', 'Input to GF1 lateral', 'Postsynaptic to LPLC2', 'LO_R', 'PLP_R', 'PVLP_R', 'WED_R', 'Ipsilateral', 'Unilateral', 'Homolateral', 'VPN', 'VisualVideo']"
putative LC4 neuron 284789 GMC,284788,43,"['presynaptic to LC4', 'Visual', 'neuron 14470358', 'neuron 14470322', 'Import', 'neuron 14470310', 'neuron 14470286', 'LO-R', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'Input to GF1 lateral', 'CardLab', 'GF1 input neuron', 'putative LC4 neuron', 'v14-seg-li-190805.0 upload CATCard', 'LC4_Imported_Review', 'neuron 14470298', 'neuron 14470334', 'neuron 14470346', 'LCBR', 'LO_R', 'PVLP_R', 'WED_R', 'Ipsilateral', 'projection neuron', 'Unilateral', 'Homolateral', 'VPN', 'VisualVideo']"
putative LC4 neuron 285582 GMC JSP SMA,285581,51,"['GF1 input neuron', 'putative LC4 neuron', 'RIGHT HEMISPHERE', 'CardLab', 'presynaptic to LC4', 'Postsynaptic to LC4', 'Visual', 'neuron 14471168', 'LO-R', 'Postsynaptic to LPLC2', 'CAT-Ongoing', 'Input to GF1 lateral', 'LOP-R', 'Import', 'neuron 14343686', 'neuron 14343779', 'neuron 14358878', 'neuron 14471144', 'neuron 14471156', 'v14-seg-li-190805.0 upload CATCard', 'neuron 14471132', 'LC4_Imported_Review', 'LCBR', 'LO_R', 'PLP_R', 'PVLP_R', 'WED_R', 'Ipsilateral', 'projection neuron', 'Unilateral', 'Homolateral', 'VPN', 'VisualVideo']"
GF input neuron 291246 GMC SM JSP - unclassified type 2a,291245,62,"['CardLab', 'CAT-Ongoing', 'Input to GF2 anterior', 'Bilateral', 'GF1 input neuron', 'Input to GF2 medial', 'GF2 input neuron', 'Input to GF1 medial', 'ACBR', 'LEFT HEMISPHERE', 'GC', 'Unclassified GF input neuron - type 2a', 'Non-Visual_Interneuron', 'AVLP_L', 'CAN_L', 'EPA_L', 'FLA_L', 'GOR_L', 'IB_L', 'IB_R', 'EPA_R', 'GNG', 'GOR_R', 'ICL_L', 'PVLP_L', 'SAD', 'WED_L', 'VES_R', 'VES_L', 'SPS_L', 'LO_L', 'AMMC_L', 'contralateral', 'Heterolateral', 'projection neuron']"
putative LC4 neuron 292338 GMC SMA,292337,52,"['Ipsilateral', 'Unilateral', 'Homolateral', 'projection neuron', 'presynaptic to LC4', 'Postsynaptic to LC4', 'Postsynaptic to LPLC2', 'Visual', 'CardLab', 'GF1 input neuron', 'neuron 14473430', 'LO-R', 'RIGHT HEMISPHERE', 'CAT-Ongoing', 'Input to GF1 lateral', 'putative LC4 neuron', 'Import', 'neuron 14473418', 'v14-seg-li-190805.0 upload CATCard', 'Merged: Google: 10891667395', 'neuron 14473442', 'LC4_Imported_Review', 'LCBR', 'LO_R', 'PLP_R', 'PVLP_R', 'WED_R', 'VPN', 'VisualVideo']"
putative LC4 neuron 292772 GMC SMA JSP,292771,46,"['neuron 15760520', 'neuron 15760508', 'neuron 15760496', 'neuron 15760484', 'putative LC4 neuron 292772 GMC SMA JSP', 'Merged: Google: 10633178451', 'v14-seg-li-190805.0 upload CATCard', 'LO-R', 'PVLP_R', 'CAT-Ongoing', 'Homolateral', 'LO_R', 'VPN', 'projection neuron', 'Postsynaptic to LPLC2', 'Ipsilateral', 'GF1 input neuron', 'LCBR', 'putative LC4 neuron', 'Unilateral', 'Input to GF1 lateral', 'LC4_Imported_Review', 'RIGHT HEMISPHERE', 'CardLab', 'Visual', 'Import', 'VisualVideo']"
GF input neuron 295023 GMC JSP - GCI,295022,36,"['GF1 input neuron', 'LEFT HEMISPHERE', 'CardLab', 'Bilateral', 'GCI', 'Input to GF1 soma tract', 'Input to GF1 medial', 'CAT-Ongoing', 'PCBR', 'GC', 'Non-Visual_Interneuron', 'AVLP_L', 'GOR_R', 'EPA_R', 'WED_L', 'PVLP_L', 'PLP_L', 'SPS_R', 'PVLP_R', 'SAD', 'SPS_L', 'Input to GF1 lateral', 'contralateral', 'projection neuron', 'Heterolateral']"
