Neuron Name,SKID,SKID in V14?,Classification,DN Type,Status,DT Hemisphere,Soma Hemisphere,ID,Annotations
La Grosse Cellule LGC 431 JS,430,True,DNp32,DNp,Complete,Right,RIGHT HEMISPHERE,Identified DN,"['GD_test', 'DNp32', 'Published in Namiki 2018', 'right DT', 'DNp', 'RIGHT HEMISPHERE', 'Identified DN', 'prospective DCV', ""SMP_upstream_all_PAM-B'2a"", 'hidden4186_nonRD', 'PS_LHN_042019_100um', '1b nc mPN 57019 SIP Projection', 'Mixed I/O Seed - Lattice - Backbone', 'Connected to pMN2', 'neuron 7984057 NF', 'NAMK_R', 'neuron 11415949', 'AJES_all_y5PAMs_all_upstream', 'mAL axonal upstream (frag)', 'NAMK_nocluster', 'C6 Output', 'Descending Neuron', 'neuron 4711467', 'NAMK_DANs_autoclustering', 'aSP-g L downstream fragment Frightened Rabbit 8003069 KMS', 'aSP-g L downstream', 'aSP-g L downstream fragment 7928672', 'hidden4186_nonbundle', 'Mixed I/O Seed - Lattice - Purely Postsynaptic', 'Mixed I/O Seed - Lattice - Complete', 'DicksonLab', 'N2 Sampler Widget Partners', 'aSP-g L downstream fragment 7927584 KMS', 'pMN2 Input', 'JS downstream SPN PED', 'around_ped_4186_zz', 'SMP_upstream_PAM21', 'GF1? DB', 'MAMK_DANs_all', 'RF_PED', 'registration landmarks', 'Mixed I/O Seed - Lattice - Neuropil', 'PS_LHN_042019_1000um', 'aSP-g L downstream 7929475 KMS', 'fragment ARJ', '1b DS ARJ', 'CAT-Ongoing', 'Marta LR Matched', 'PS_LHN_042019_10um', 'mAL axonal upstream', ""KJH_all_B'2a_all_upstream"", 'JS upstream SPN left', 'aSP-g L_downstream_lone', 'peptidergic', 'pMP8 Output', 'skeletonizing to identification only', 'SAC', 'putative DAN', 'JefferisLab', 'JS upstream SPN', 'NAMK_auto_10', 'JS upstream SPN PED', 'around_ped_4186_nonRD-bundle_zz', 'aSP-g L downstream (no group)', 'NAMK_DANs_all', ""SMP_upstream_PAM-B'2a_4"", ""SMP_upstream_PAM-B'2a_4-no_MB_neurons"", 'NAMK_DANs_LH_other', 'For_Ito_Oct', ""SMP_upstream_all_PAM-B'2a-no_MB_neurons"", 'NAMK_DANs_nolin', 'NAMK_DANs_autocluster_23']"
AL-bypassing PN mALT 199442 ARH,199441,True,,DNp,duplicate - manual,Right,RIGHT HEMISPHERE,Miscellaneous DNp,"['miscellaneous DNp', 'duplicate - manual', 'right DT', 'DNp', 'Unidentified DN', 'RIGHT HEMISPHERE', 'Descending Neuron', 'uncertain PN', 'mALT seed 3', 'mALT', 'bypass MB calyx', 'bypass calyx', 'PNAxonsForNewTracers', 'LHN', 'ASB LHN', 'innervates dACA', 'WTPN2017_mALT_right', 'WTPN2017_mALT', 'WTPN2017_right', 'bypass AL', 'WTPN2017_bypass_AL', 'SCHLEGEL mALT', 'innervates dACA non-KCaBp', 'neuron 11434403', 'WTPN2017_non_olf', 'gustatory', 'ASB Tract 1485507', 'Volker_Lineage: DPLl3', 'ItoLee_Hemilineage: SLPad1_posterior', 'Volker_Hemilineage: DPLl3_posterior', 'ItoLee_Lineage: SLPad1', 'Lineage_annotated', 'WTPN2017_mALT_lALT_base']"
VCN001 input neuron 274034 GMC JK,274033,True,,DNg,Complete,Left,LEFT HEMISPHERE,Miscellaneous DNg,"['miscellaneous DNg', 'posterior soma', 'no_type_match', 'check soma tract for DNs', 'left DT', 'DNg', 'Unidentified DN', 'LEFT HEMISPHERE', 'Descending Neuron', 'DN_Autoseg_Exploration', 'CAT-Ongoing', 'Subesophageal Ganglion', 'neuron 7874543 KS', 'GNG', 'uLPTCIN input neuron', 'ChiappeLab', 'LPTCIN input neuron', 'CardLab']"
GF input neuron 277740 GMC SM SMA JSP - unclassified type 3,277739,True,DNp type 8,DNp,Complete,Right,RIGHT HEMISPHERE,Typed DN,"['right DT', 'DNp', 'Typed DN', 'DNp type 8', 'Unidentified DN', 'postsynaptic to LC6', 'EPA_R', 'Ipsilateral', 'ICL_R', 'Heterolateral', 'projection neuron', 'IB_R', 'CAN_R', 'ICL_L', 'PVLP_R', 'GOR_L', 'SPS_R', 'SCL_R', 'GF2 input neuron', 'Input to GF1 lateral', 'LHN_JUNE_2017', 'Bilateral', 'Postsynaptic to LPLC2', 'PCBR', 'GC', 'downstream of LC6', 'input from LC6 lateral', 'input from LC6 medial', 'CardLab', 'neuron 3941333 JSP', 'Input to GF1 soma tract', 'Input to GF1 medial', 'Descending Neuron', 'Input to GF1 anterior', 'LHN_JUNE_2017_NON_PN', 'dark cytosol', 'CAT-Ongoing', 'RIGHT HEMISPHERE', 'GF1 input neuron', 'connectives', 'Visual_Interneuron', 'Input to GF2 medial', 'Unclassified GF input neuron - type 3', 'AMMC_R', 'GNG', 'AVLP_R', 'GOR_R', 'IB_L', 'LAL_R', 'PLP_R', 'SIP_R', 'SAD', 'VES_R', 'WED_R']"
GF2 GMC SM,291870,True,DNp01,DNp,Complete,Left,LEFT HEMISPHERE,Identified DN,"['Published in Namiki 2018', 'left DT', 'DNp', 'LEFT HEMISPHERE', 'Identified DN', 'DNp01', 'JC_lALT_other', 'CAT-Ongoing', 'CardLab', 'prune ARJ', 'registration landmarks', 'Marta LR Matched', 'giant fiber neuron', 'paired with #4947529', 'deformetricaLR_refine_ARJ', 'LR ARJ', 'Homolateral', 'Sensorimotor', 'Descending Neuron', 'PCBR', 'connectives']"
VCN Input neuron 378423,378422,True,DNg type 11,DNg,duplicate - manual,Right,midLine,Typed DN,"['midLine', 'Typed DN', 'right DT', 'DNg type 11', 'Unidentified DN', 'DNg', 'duplicate - manual', 'Descending Neuron', 'Subesophageal Ganglion']"
putative DNp29 neuron 604643 JSP,604642,True,DNp29,DNp,Complete,Right,LEFT HEMISPHERE,Identified DN,"['DNp29', 'Published in Namiki 2018', 'right DT', 'DNp', 'Identified DN', 'LEFT HEMISPHERE', 'RJVR_practice', 'CAT-Ongoing', 'CardLab', 'Descending Neuron', 'putative DNp29', 'DN Exploration', 'MCBR', 'Heterolateral', 'Bilateral', 'Sensorimotor']"
LPTC input 999559 ME,999558,True,,DNg,Complete,Left,RIGHT HEMISPHERE,Miscellaneous DNg,"['miscellaneous DNg', 'posterior soma', 'left DT', 'DNg', 'RIGHT HEMISPHERE', 'Unidentified DN', 'Descending Neuron', 'ChiappeLab', 'Right Hemisphere', 'Chiappe-DN', 'LPTCIN input neuron', 'rLPTCIN input neuron', 'GNG', 'SPS_R', 'IPS_R', 'IPS_L', 'HS input neuron']"
eye ascending neuron 2,1019728,True,DNg type 25,DNg,duplicate - manual,Right,RIGHT HEMISPHERE,Typed DN,"['DNg type 25', 'Typed DN', 'duplicate - manual', 'right DT', 'DNg', 'Unidentified DN', 'RIGHT HEMISPHERE', 'Descending Neuron', 'HampelSeedsLab', 'duplicated', 'KE upseg', 'ASB stitched from auto segments', 'neuron upload', 'v14-seg upload', 'antennal grooming circuit', 'eye grooming circuit', 'downstream of aBN1']"
aSP-g arch tract neuron 1059628 IT KMS,1059627,True,,,unclear FW,Right,FindSoma,Unidentified DN,"['unclear FW', 'Putative_Descending', 'right DT', 'Unidentified DN', 'Descending Neuron', 'FindSoma', 'MAMK_DANs_all', 'SMP_upstream_PAM21', 'SMP_upstream_PAM23', 'AJES_all_y5PAMs_all_upstream', 'GD_y5_upstream_fragment_skids', 'JefferisLab', 'aSP-g axon upstream', 'dense core vesicles', 'aSP-g tract not aSP-g', 'aSP-g tract', 'jefferis_bridge_tract', 'CAT-Ongoing', 'AJES_connectivity_anaylsisJAN18_upstream_of_interneurons', 'Connected to pMP8', 'KH_training_tract_tracing', 'NAMK_DANs_all', 'NAMK_DANs_nolin_VNC']"
